id,bu,temp,title,desc,origem,responsavel,jira,porqueTemp,proximosPassos
d1,OM,quente,Reprocessamento de pedidos travados,"Pedidos ficam presos no status de expedição quando a integração perde o webhook do marketplace, exigindo intervenção manual diária.",Suporte,Bruna Lima,AVT-1421,"Afeta sellers grandes todos os dias e gera abertura recorrente de chamados. É a principal causa de churn citada no último ciclo.",Mapear os estados em que o pedido trava|Criar fila de reprocessamento automático|Validar com 3 sellers piloto
d2,OM,morno,Painel de SLA de expedição,Visão consolidada do tempo de expedição por canal para o seller acompanhar atrasos antes do marketplace penalizar.,Time comercial,Caio Mendes,AVT-1388,"Demanda clara e com valor, mas depende da entrega do reprocessamento de pedidos para ter dados confiáveis.",Definir métricas de SLA por marketplace|Prototipar o painel|Alinhar com a squad de dados
d3,OM,frio,Alertas de ruptura de estoque,"Notificar o seller quando o estoque de um anúncio se aproxima de zero, considerando a velocidade de venda.",NPS,Bruna Lima,AVT-1290,"Pedido pontual de poucos sellers e sem urgência. Fica no backlog até a base de OM estar mais madura.",Coletar mais feedback de demanda|Estimar esforço técnico
d4,DA,quente,Dashboard de margem por SKU,"Cruzar custo, taxas do marketplace e frete para mostrar a margem real de cada SKU em tempo quase real.",Reunião de squad,Diego Rocha,AVT-1502,É o diferencial mais pedido em vendas e bloqueia o fechamento de contas enterprise neste trimestre.,Modelar a fórmula de margem por canal|Construir o pipeline de custos|Desenhar o dashboard com a squad de produto
d5,DA,morno,Exportação agendada de relatórios,Permitir agendar o envio de relatórios em CSV e XLSX por e-mail em intervalos definidos pelo seller.,Cliente Atria,Elisa Prado,AVT-1455,"Bom valor recorrente e poucos riscos, mas concorre em prioridade com o dashboard de margem.",Listar relatórios elegíveis|Definir agendador e limites
d6,DA,frio,Previsão de demanda sazonal,Modelo para estimar a demanda de cada categoria em datas sazonais a partir do histórico de vendas.,Análise interna,Diego Rocha,AVT-1361,Exploração de longo prazo. Depende de mais histórico de dados e ainda não tem demanda concreta de cliente.,Avaliar viabilidade dos dados|Pesquisar modelos de baseline
d7,IO,quente,Automação de onboarding de seller,"Fluxo automático que conecta contas, valida permissões e dispara o primeiro sync sem ação do time interno.",Reunião de squad,Fernanda Sá,AVT-1490,O onboarding manual não escala com o ritmo de novos sellers e está estourando a capacidade do time de operações.,Mapear etapas manuais atuais|Automatizar a validação de credenciais|Medir tempo de ativação antes e depois
d8,IO,morno,Central de permissões por equipe,Gerenciar papéis e acessos das equipes internas a partir de uma única tela com trilha de auditoria.,Time de operações,Gustavo Reis,AVT-1402,"Necessário para crescer com segurança, mas sem incidente aberto. Entra após o onboarding automático.",Definir matriz de papéis|Especificar a trilha de auditoria
d9,IO,frio,Base de conhecimento interna,Repositório de procedimentos e respostas padrão para acelerar o atendimento do time de suporte.,Suporte,Fernanda Sá,AVT-1245,Melhoria de processo sem prazo crítico. Pode ser endereçada com ferramentas existentes por enquanto.,Levantar artigos prioritários|Escolher a ferramenta
d10,Admin,quente,Auditoria de dados de integração,Detectar e sinalizar divergências entre os dados do marketplace e os dados armazenados pela Avantpro.,Análise interna,Helena Dias,AVT-1510,Inconsistências silenciosas já causaram relatórios errados para sellers. Risco direto de confiança no produto.,Definir regras de consistência|Criar relatório de divergências|Priorizar correções por impacto
d11,Admin,morno,Reconciliação de contas vinculadas,Conferir periodicamente o vínculo entre contas de seller e marketplaces para evitar syncs órfãos.,Time de operações,Igor Faria,AVT-1430,"Importante para a saúde dos dados, mas o impacto atual é contornável com checagens manuais.",Definir frequência de reconciliação|Especificar o relatório de conferência
d12,Admin,frio,Limpeza de dados duplicados,Rotina para identificar e mesclar registros duplicados de produtos e pedidos na base administrativa.,Análise interna,Helena Dias,AVT-1298,"Dívida técnica conhecida, sem efeito visível para o usuário hoje. Fica para uma janela de manutenção.",Quantificar o volume de duplicados|Desenhar a regra de merge
